,neighborhood,latitude,longitude,name,categories
2896,Copacabana,-22971965,-43186646,Santa SatisfaÃ§Ã£o,Various Restaurants
2897,Copacabana,-22971935,-43186583,Bibi Sucos,Various Restaurants
2898,Copacabana,-22972666,-43189047,Zona Sul,Various Restaurants
2899,Copacabana,-22967743,-431846,PavÃ£o Azul,Various Restaurants
2900,Copacabana,-22970865,-43187623,The Bakers,Various Restaurants
2901,Copacabana,-22970411,-43182845,Bar e Champanheria Copacabana,Various Restaurants
2902,Copacabana,-2296734,-43179007,Momo Gelato,Various Restaurants
2903,Copacabana,-22967863,-43184854,Zezimbar,Various Restaurants
2904,Copacabana,-22975072,-43187661,Deck Bar,Various Restaurants
2905,Copacabana,-22972353,-43186279,Balada Mix,Various Restaurants
2906,Copacabana,-22976087,-4318756,Nativoo Bar Beach,Various Restaurants
2907,Copacabana,-22970185,-43185662,Farro,Various Restaurants
2908,Copacabana,-2297428,-43186388,Praia Skol 360Â°,Various Restaurants
2909,Copacabana,-22968565,-43180668,Arab,Various Restaurants
2910,Copacabana,-22966843,-43178619,Churrascaria Palace,Various Restaurants
2911,Copacabana,-22976123,-4318869,El Born,Various Restaurants
2912,Copacabana,-22975798,-43189059,Boteco Belmonte,Various Restaurants
2913,Copacabana,-22967388,-43183588,Real Chopp,Various Restaurants
2914,Copacabana,-22978378,-4319094,Starbucks,Various Restaurants
2915,Copacabana,-2297665,-43190459,Stalos CafÃ© & Bar,Various Restaurants
2916,Copacabana,-22967836,-43182031,Conversa Fora na Brasa,Various Restaurants
2917,Copacabana,-22965054,-43179329,PÃ£o e Companhia Copacabana,Various Restaurants
2918,Copacabana,-22965054,-43179329,Mr CopÃ£o,Various Restaurants
2919,Copacabana,-22967785,-43184162,Papo de Anjo,Various Restaurants
2920,Copacabana,-22967427,-43183275,Galeto Viva Flor,Various Restaurants
2921,Copacabana,-22974997,-43188161,Braseiro,Various Restaurants
2922,Copacabana,-22977884,-43190426,Bibi Sucos Copacabana,Various Restaurants
2923,Copacabana,-22969782,-43181387,Quiosque 51,Various Restaurants
2924,Copacabana,-22968011,-43182662,Galeto & Cia,Various Restaurants
2925,Copacabana,-22977963,-431898,Restaurante MÃ´naco,Various Restaurants
2926,Copacabana,-22976219,-43192582,O Caranguejo,Various Restaurants
2927,Copacabana,-22972681,-43185785,La Maison,Various Restaurants
2928,Copacabana,-22975184,-43188291,Vizinhando,Various Restaurants
2929,Copacabana,-22973145,-43190187,BistrÃ´ Primitivo,Various Restaurants
2930,Copacabana,-22971895,-43184721,Quiosque Chopp Brahma,Various Restaurants
2931,Copacabana,-22975807,-43188682,Restaurante Stambul,Various Restaurants
2932,Copacabana,-22977538,-43189037,Skylab,Various Restaurants
2933,Copacabana,-22970769,-43183732,Deck Beer Bar e Restaurante,Various Restaurants
2934,Copacabana,-22977568,-43189101,CafÃ© da ManhÃ£,Various Restaurants
2935,Copacabana,-22976045,-43189315,Boteco da Garrafa,Various Restaurants
2936,Laranjeiras,-22938399,-43192871,Kopenhagen,Various Restaurants
2937,Cosme Velho,-22937526,-43205396,Brasa BBQ,Various Restaurants
2938,Laranjeiras,-22941906,-43191825,Serrado - Vinhos & BistrÃ´,Various Restaurants
2939,Cosme Velho,-22938137,-43195876,Casa do Minho,Various Restaurants
2940,Cosme Velho,-22940025,-43200249,ChurrascÃ£o do PC,Various Restaurants
2941,Laranjeiras,-22938303,-43191614,LaticÃ­nios Normandia,Various Restaurants
2942,Laranjeiras,-22943342,-43192015,Pastel do Bigode,Various Restaurants
2943,Laranjeiras,-22940237,-43191472,Laranjada Samba Clube,Various Restaurants
2944,Cosme Velho,-22939013,-43196273,Assis Restaurante e Livraria,Various Restaurants
2945,Cosme Velho,-22940444,-43197311,PanificaÃ§Ã£o Rainha,Various Restaurants
2946,Cosme Velho,-22941362,-43198587,Quiosque Coca Cola,Various Restaurants
2947,Cosme Velho,-22940302,-43199252,Restaurante La Luna,Various Restaurants
2948,Cosme Velho,-22941362,-43198587,Yogofresh,Various Restaurants
2949,Cosme Velho,-22939965,-43198805,Taberna 564 Restaurante,Various Restaurants
2950,Laranjeiras,-22938378,-43192431,Mandarim,Various Restaurants
2951,Cosme Velho,-22941064,-43197828,Don Quixote Lounge,Various Restaurants
2952,Cosme Velho,-22940474,-43197374,Mercearia do Nivaldo,Various Restaurants
2953,Cosme Velho,-22939884,-43196921,Bar Hills  Edificio Beverly Hills,Various Restaurants
2954,Cosme Velho,-22940302,-43197935,Bob's,Various Restaurants
2955,Cosme Velho,-22944217,-43204866,PortÃ£o Vermelho,Various Restaurants
2956,Cosme Velho,-22942488,-43205703,Bar do Beto,Various Restaurants
2957,Cosme Velho,-22939369,-43195968,O PÃ£o,Various Restaurants
2958,Cosme Velho,-2293892,-43196208,Jatai Sucos,Various Restaurants
2959,Laranjeiras,-22942294,-43191458,Padaria Rainha das Laranjeiras,Various Restaurants
2960,Laranjeiras,-22938336,-43191552,Balada Mix,Various Restaurants
2961,Laranjeiras,-22937986,-43195559,Veg BorÃ¡,Various Restaurants
2962,Laranjeiras,-22938712,-43194321,Arca dos Sonhos,Various Restaurants
2963,Laranjeiras,-22934949,-43196803,Casa Fat Radish,Various Restaurants
2964,Laranjeiras,-22938282,-43192492,Maria AÃ§aÃ­,Various Restaurants
2965,Laranjeiras,-22938375,-43192557,Cate Point Lanches,Various Restaurants
2966,Laranjeiras,-22940797,-43191862,Barraca da Tapioca,Various Restaurants
2967,Laranjeiras,-22940671,-43191859,Vezpa Pizzas - Laranjeiras,Various Restaurants
2968,Laranjeiras,-22942602,-43191842,Kcild's Bar,Various Restaurants
2969,Laranjeiras,-22942602,-43191842,Feijoada do Yogui,Various Restaurants
2970,Laranjeiras,-22938224,-43192239,Fabrica de Bolo Vo Alzira,Various Restaurants
2971,Laranjeiras,-22942602,-43191842,Kcild's,Various Restaurants
2972,Laranjeiras,-22942581,-43191402,Varandinha,Various Restaurants
2973,Cosme Velho,-22938709,-43191812,Galeto Secreto,Various Restaurants
2974,Flamengo,-22934851,-43174594,Boteco Belmonte,Various Restaurants
2975,Flamengo,-22936409,-43174318,Paris Lounge,Various Restaurants
2976,Flamengo,-22937036,-43169314,Assador,Various Restaurants
2977,Laranjeiras,-22934701,-43176912,Balaio,Various Restaurants
2978,Laranjeiras,-22928031,-43171635,Quiosque Zeronove,Various Restaurants
